CID	IAUName	Class	Peakrmag	MJD	zCMB	e_zCMB	muSz	e_muSz	AVM	e_AVM	dm15z	e_dm15z	AVz	e_AVz
17408	             	      zSNIa	21.3	54346.2	0.238956	0.00005	40.46	0.26	0.27	0.15	0.91	0.15	0.13	0.17
19282	       2007mk	       SNIa	20.2	54393.3	0.175584	0.005	39.72	0.2	0.14	0.07	0.91	0.05	0.1	0.08
15287	       2006kt	       SNIa	20.9	54025.2	0.236296	0.000083	40.52	0.19	0.15	0.08	0.91	0.04	0.09	0.08
5802	             	      zSNIa	21.2	53656.2	0.299152	0.000034	40.82	0.21	0.23	0.12	0.91	0.09	-0.04	0.19
13629	             	      zSNIa	21.5	53997.4	0.351542	0.000067	41.67	0.27	-0.04	0.14	0.91	0.09	-0.06	0.2
13532	             	      zSNIa	22.5	54020.3	0.263494	0.000026	42.89	0.46	0.17	0.25	0.91	0.18	-0.1	0.34
12856	       2006fl	       SNIa	20.1	53997.2	0.170283	0.000015	39.63	0.18	-0.06	0.07	0.91	0.05	-0.12	0.07
19155	       2007mn	       SNIa	18.3	54402.4	0.076639	0.000014	37.84	0.18	-0.06	0.04	0.91	0.03	-0.2	0.05
15002	       2006ko	      SNIa?	21.5	54025.4	0.360616	0.005	41.44	0.25	0.05	0.14	0.91	0.08	-0.21	0.18
7884	             	      zSNIa	21.4	53664.3	0.439901	0.000145	41.97	0.29	-0.3	0.25	0.91	0.23	-0.68	0.24
19048	             	      zSNIa	21.5	54387.2	0.135493	0.000012	39.99	0.23	1.19	0.14	0.9	0.11	1.45	0.17
14525	             	      zSNIa	20.5	54020.3	0.153123	0.000013	39.61	0.2	0.79	0.07	0.9	0.04	1.04	0.09
14671	             	      zSNIa	22.1	53989.4	0.370184	0.000081	41.3	0.34	0.35	0.29	0.9	0.26	0.58	0.74
6535	             	      zSNIa	21.1	53676.2	0.304471	0.000075	40.5	0.23	0.48	0.14	0.9	0.09	0.5	0.12
13520	             	      zSNIa	21.3	54000.3	0.267969	0.000047	40.44	0.24	0.44	0.13	0.9	0.12	0.49	0.15
9207	       2005lg	       SNIa	21.7	53681.3	0.348852	0.000027	41.41	0.3	0.31	0.22	0.9	0.12	0.37	0.23
16439	             	      zSNIa	21.9	54056.1	0.394968	0.000069	41.72	0.32	0.64	0.21	0.9	0.23	0.32	0.45
1166	             	       SNIa	21.6	53634.3	0.380494	0.0001	41.41	0.31	0.38	0.18	0.9	0.17	0.26	0.26
8921	       2005ld	       SNIa	19.9	53693.1	0.144093	0.000015	39.26	0.18	0.21	0.1	0.9	0.05	0.25	0.1
13641	       2006hf	       SNIa	20.6	54007.3	0.208521	0.005	40.13	0.2	0.24	0.08	0.9	0.05	0.22	0.09
13864	             	      zSNIa	21.4	54005.3	0.299254	0.000048	40.95	0.24	0.29	0.11	0.9	0.07	0.2	0.12
13736	       2006hv	       SNIa	20	54022.2	0.14882	0.000022	39.34	0.18	0.21	0.06	0.9	0.03	0.19	0.06
1580	       2005fb	       SNIa	20.4	53634.4	0.183217	0.005	39.63	0.2	0.18	0.08	0.9	0.05	0.14	0.09
762	       2005eg	       SNIa	20.4	53628.3	0.190088	0.000024	40.05	0.19	0.18	0.08	0.9	0.05	0.11	0.1
18650	       2007lt	       SNIa	19.5	54385.2	0.112425	0.000027	38.79	0.18	0.09	0.06	0.9	0.03	0.09	0.07
18049	             	      zSNIa	21.3	54379.3	0.2871	0.000024	41	0.26	0.17	0.15	0.9	0.1	0.06	0.19
18486	       2007ln	       SNIa	20.7	54387.5	0.245403	0.005	40.36	0.2	-0.01	0.09	0.9	0.04	-0.14	0.09
15814	             	      zSNIa	21.6	54030.3	0.369922	0.000021	41.6	0.23	0.09	0.14	0.9	0.09	-0.17	0.17
1316	       2005fe	       SNIa	20.9	53622.3	0.215653	0.000024	40.36	0.22	0.01	0.15	0.9	0.11	-0.22	0.18
7699	             	      zSNIa	21.6	53685.2	0.404925	0.00011	42.01	0.26	-0.09	0.18	0.9	0.12	-0.51	0.2
20961	             	      zSNIa	21.9	54402.3	0.322221	0.000065	41.13	0.35	1.11	0.2	0.89	0.15	1.27	0.27
4679	       2005gy	       SNIa	21.2	53657.3	0.331035	0.0005	41.08	0.27	0.62	0.17	0.89	0.1	0.66	0.21
15953	             	      zSNIa	21.8	54037.3	0.354043	0.000049	41.5	0.37	0.51	0.38	0.89	0.2	0.62	0.34
14894	             	      zSNIa	21.8	54047.4	0.436574	0.000027	41.78	0.41	0.9	0.27	0.89	0.18	0.59	0.39
17809	       2007kr	       SNIa	21.3	54365.3	0.287457	0.00003	40.89	0.22	0.33	0.09	0.89	0.07	0.36	0.15
16099	       2006nn	       SNIa	20.5	54047.4	0.195801	0.000033	40.1	0.19	0.43	0.06	0.89	0.04	0.28	0.07
15203	       2006jy	       SNIa	20.5	54024.4	0.20313	0.000071	40.11	0.19	0.31	0.07	0.89	0.04	0.25	0.08
3593	             	      zSNIa	21.8	53637.3	0.35505	0.000077	41.61	0.32	0.36	0.2	0.89	0.14	0.24	0.27
1008	       2005il	      zSNIa	20.9	53628.4	0.225039	0.000077	40.18	0.21	0.28	0.11	0.89	0.09	0.24	0.13
18943	             	      zSNIa	21.8	54388.4	0.348803	0.000026	41.42	0.26	0.41	0.14	0.89	0.09	0.23	0.18
17952	             	      zSNIa	21.7	54376.4	0.348304	0.000035	41.36	0.28	0.21	0.16	0.89	0.1	0.22	0.18
20467	             	      zSNIa	21.3	54408.3	0.269625	0.000027	40.98	0.23	0.35	0.15	0.89	0.08	0.19	0.14
15992	             	      zSNIa	21.9	54040.3	0.362891	0.000089	41.84	0.35	0.42	0.22	0.89	0.13	0.15	0.28
17875	       2007jz	       SNIa	20.8	54359.3	0.210749	0.005	40.37	0.21	0.18	0.11	0.89	0.05	0.15	0.12
6687	             	      zSNIa	22.1	53655.2	0.393986	0.0005	40.69	0.44	0.62	0.41	0.89	0.29	0.09	0.65
15496	             	      zSNIa	20.9	54039.3	0.232986	0.000062	40.45	0.19	0.19	0.09	0.89	0.04	0.07	0.09
18704	             	      zSNIa	21.4	54384.4	0.330484	0.000017	41.13	0.24	0.08	0.37	0.89	0.1	0.07	0.17
17745	       2007ju	       SNIa	18	54379.3	0.062145	0.000013	37.28	0.19	0.05	0.05	0.89	0.03	0	0.07
3377	       2005gr	       SNIa	20.8	53644.4	0.244478	0.0005	40.29	0.2	0.07	0.1	0.89	0.05	-0.03	0.1
12927	       2006fj	       SNIa	20.3	53989.4	0.188911	0.000017	39.56	0.19	0.14	0.12	0.89	0.07	-0.04	0.16
6913	             	      zSNIa	21.5	53655.2	0.379467	0.000068	41.35	0.33	0.28	0.24	0.89	0.15	-0.12	0.36
20447	             	      zSNIa	21.9	54402.3	0.417658	0.000173	42.12	0.33	0.12	0.26	0.89	0.15	-0.15	0.34
2102	       2005fn	       SNIa	18.8	53622.2	0.094009	0.0005	38.28	0.18	-0.02	0.06	0.89	0.04	-0.23	0.08
13689	             	       SNIa	20.8	54000.3	0.250289	0.000012	40.65	0.2	-0.08	0.1	0.89	0.05	-0.27	0.1
5691	             	      zSNIa	21.9	53654.3	0.284349	0.00002	40.45	0.29	1.35	0.18	0.88	0.12	1.59	0.26
6896	             	      zSNIa	21.8	53671.2	0.333477	0.000069	41.29	0.36	0.76	0.25	0.88	0.18	0.71	0.27
17945	             	      zSNIa	22	54362.4	0.328277	0.000032	41.3	0.32	0.66	0.16	0.88	0.13	0.69	0.21
14375	             	      zSNIa	21.3	54007.4	0.322219	0.00014	40.72	0.21	0.66	0.1	0.88	0.06	0.69	0.12
13867	             	      zSNIa	21.8	53996.3	0.345589	0.000093	41.18	0.31	0.53	0.18	0.88	0.13	0.61	0.25
19008	       2007mz	       SNIa	21	54392.2	0.217566	0.005	40.16	0.21	0.53	0.11	0.88	0.06	0.59	0.12
20097	       2007rd	      SNIa?	21.1	54412.1	0.219792	0.005	40.25	0.22	0.63	0.12	0.88	0.06	0.54	0.12
10559	             	      zSNIa	21.5	53697.2	0.279534	0.000034	40.86	0.3	0.45	0.19	0.88	0.12	0.44	0.2
4307	             	      zSNIa	21.1	53646.4	0.270836	0.0005	40.87	0.23	0.36	0.11	0.88	0.06	0.25	0.13
5717	       2005ia	       SNIa	21	53663.3	0.250368	0.0005	40.77	0.19	0.26	0.08	0.88	0.05	0.14	0.11
14827	             	      zSNIa	21.8	54047.3	0.409392	0.000072	41.97	0.33	0.24	0.23	0.88	0.17	0.1	0.32
6777	       2005iy	       SNIa	22	53686.2	0.402761	0.0005	42.2	0.38	0.07	0.27	0.88	0.17	0.01	0.37
13370	       2006gv	       SNIa	21	53989.4	0.197858	0.005	40.57	0.22	0.09	0.13	0.88	0.11	-0.07	0.19
13633	             	      zSNIa	21.8	53997.4	0.386024	0.00026	41.9	0.27	0.14	0.16	0.88	0.16	-0.13	0.35
3175	             	      zSNIa	21.4	53635.4	0.220288	0.000024	41.12	0.23	0.02	0.15	0.88	0.08	-0.18	0.16
8165	             	      zSNIa	21.8	53687.3	0.318249	0.01	42.12	0.4	0.08	0.2	0.88	0.12	-0.22	0.24
13070	       2006fu	       SNIa	20.4	53993.4	0.197181	0.000019	40.02	0.19	-0.1	0.08	0.88	0.05	-0.25	0.09
7527	             	      zSNIa	21.6	53687.2	0.235524	0.01	40.56	0.27	0.98	0.15	0.87	0.12	1.12	0.17
1750	             	      zSNIa	21.8	53628.3	0.258435	0.000021	40.78	0.28	0.89	0.16	0.87	0.12	1.1	0.22
20969	             	      zSNIa	21.5	54424.2	0.330952	0.000045	41.12	0.34	0.57	0.21	0.87	0.13	0.91	0.16
20562	             	      zSNIa	22.2	54402.4	0.336199	0.000013	41.63	0.3	0.53	0.25	0.87	0.18	0.91	0.36
2079	             	      zSNIa	21.6	53636.2	0.305008	0.00004	40.61	0.31	0.91	0.18	0.87	0.16	0.74	0.25
17433	             	      zSNIa	21.5	54348.3	0.286487	0.000029	40.82	0.28	0.51	0.14	0.87	0.14	0.47	0.19
17215	       2007hy	       SNIa	20.6	54348.5	0.180792	0.000043	39.69	0.21	0.35	0.11	0.87	0.09	0.3	0.14
20046	             	      zSNIa	21.1	54406.1	0.262562	0.000014	40.77	0.22	0.32	0.12	0.87	0.06	0.27	0.12
13305	       2006he	       SNIa	20.7	54011.2	0.213384	0.000011	40.18	0.19	0.29	0.08	0.87	0.05	0.23	0.09
19128	       2007lw	       SNIa	21.3	54387.3	0.285433	0.005	41.09	0.23	0.13	0.12	0.87	0.08	0.01	0.14
18485	       2007nu	       SNIa	21.1	54390.5	0.278216	0.005	40.83	0.21	0.14	0.1	0.87	0.06	0	0.12
14438	             	      zSNIa	21.2	54020.2	0.295953	0.000012	41.05	0.22	0.15	0.11	0.87	0.06	-0.03	0.12
17208	       2007ic	       SNIa	19.9	54346.3	0.138637	0.005	39.46	0.21	-0.01	0.11	0.87	0.06	-0.12	0.14
2630	             	      zSNIa	21.7	53627.4	0.349599	0.000095	41.45	0.27	0.15	0.15	0.87	0.12	-0.13	0.2
16000	       2006nj	       SNIa	21.6	54040.3	0.388571	0.005	42.02	0.29	-0.12	0.19	0.87	0.11	-0.47	0.22
15170	       2006jx	       SNIa	21.8	54031.4	0.394414	0.005	41.85	0.27	-0.2	0.19	0.87	0.1	-0.56	0.24
8280	             	      zSNIa	21.7	53680.3	0.18347	0.000025	40.58	0.25	1.29	0.14	0.86	0.11	1.42	0.17
19246	             	      zSNIa	22.3	54381.3	0.333585	0.000049	41.17	0.42	0.82	0.26	0.86	0.17	1.13	0.41
14346	             	      zSNIa	22	54007.4	0.211888	0.000022	41.14	0.31	0.86	0.14	0.86	0.13	1.06	0.25
8195	             	      zSNIa	21.7	53693.1	0.267276	0.000032	40.67	0.29	0.76	0.18	0.86	0.11	0.84	0.2
16454	             	      zSNIa	21.2	54068.1	0.228458	0.000037	40.62	0.29	0.67	0.17	0.86	0.21	0.63	0.18
3199	       2005gs	       SNIa	21.2	53648.2	0.249612	0.0005	40.94	0.23	0.34	0.09	0.86	0.04	0.36	0.12
17552	       2007jl	       SNIa	21.2	54359.1	0.251909	0.000036	40.64	0.22	0.27	0.11	0.86	0.06	0.25	0.13
20434	             	      zSNIa	21.9	54422.1	0.279469	0.000035	41.39	0.37	0.62	0.22	0.86	0.19	0.21	0.24
3341	             	      zSNIa	21.9	53635.4	0.430018	0.000091	42.18	0.31	0.09	0.24	0.86	0.15	0.13	0.34
15443	       2006lb	       SNIa	20.2	54041.4	0.181225	0.000015	39.71	0.18	0.11	0.06	0.86	0.03	0.03	0.06
7717	             	      zSNIa	21.7	53681.3	0.331173	0.000034	41.6	0.29	0.14	0.19	0.86	0.13	-0.07	0.21
2017	       2005fo	       SNIa	21.2	53636.2	0.261621	0.000025	40.98	0.25	0.08	0.13	0.86	0.07	-0.09	0.16
13902	             	      zSNIa	21.9	53989.3	0.323385	0.00006	41.4	0.35	0.27	0.31	0.86	0.22	-0.14	0.55
3368	             	      zSNIa	21.7	53635.4	0.376543	0.000031	41.53	0.28	0.13	0.16	0.86	0.12	-0.15	0.23
4639	             	      zSNIa	21.9	53640.4	0.36401	0.000163	41.96	0.34	0.14	0.19	0.86	0.13	-0.33	0.28
21543	             	      zSNIa	21.6	54433.3	0.323448	0.000022	       	      	0.82	0.24	0.85	0.26	0.99	0.33
1415	             	      zSNIa	20.9	53627.3	0.210449	0.000035	39.96	0.22	0.86	0.11	0.85	0.08	0.98	0.13
19604	       2007oi	       SNIa	22	54404.3	0.294479	0.005	41.17	0.31	0.82	0.2	0.85	0.14	0.86	0.24
7857	             	      zSNIa	21.4	53686.2	0.369617	0.00002	41.59	0.33	0.36	0.29	0.85	0.16	0.66	0.27
2689	       2005fa	       SNIa	20.1	53634.3	0.160352	0.000046	39.38	0.19	0.48	0.07	0.85	0.04	0.61	0.09
18224	             	      zSNIa	22.1	54362.3	0.33755	0.000046	41.1	0.42	0.7	0.2	0.85	0.24	0.6	0.48
12879	             	      zSNIa	21.8	53989.3	0.36341	0.000022	41.54	0.33	0.37	0.23	0.85	0.14	0.57	0.32
13432	             	      zSNIa	21.6	53975.2	0.227234	0.000073	41.37	0.44	0.5	0.29	0.85	0.32	0.52	0.31
15822	             	      zSNIa	21.2	54047.1	0.232086	0.01	40.63	0.25	0.49	0.11	0.85	0.07	0.36	0.14
13901	             	      zSNIa	21.9	54000.3	0.429816	0.000128	41.96	0.37	0.48	0.23	0.85	0.17	0.34	0.33
9155	             	      zSNIa	21.7	53687.2	0.304183	0.00003	41.33	0.37	0.25	0.21	0.85	0.12	0.32	0.26
13830	       2006hm	       SNIa	21.5	53996.3	0.329841	0.000037	40.98	0.24	0.32	0.14	0.85	0.1	0.28	0.19
1688	             	       SNIa	21.6	53628.2	0.357669	0.000015	41.41	0.33	0.24	0.24	0.85	0.18	0.17	0.27
13038	       2006gn	       SNIa	19.1	53993.3	0.102644	0.005	38.61	0.21	0.01	0.06	0.85	0.03	0.14	0.08
14157	       2006kj	       SNIa	20.6	54009.5	0.210825	0.0005	39.96	0.19	0.15	0.08	0.85	0.04	0.05	0.07
17958	             	      zSNIa	21.4	54362.4	0.274897	0.000055	41.04	0.23	0.06	0.13	0.85	0.08	0.04	0.15
17811	       2007ix	       SNIa	20.4	54359.3	0.198667	0.005	40.03	0.2	0	0.08	0.85	0.06	-0.07	0.1
7365	             	      zSNIa	21.7	53671.3	0.392218	0.000021	41.73	0.35	0.02	0.26	0.85	0.21	-0.15	0.3
19778	             	      zSNIa	21.8	54405.3	0.394859	0.000061	       	      	0.06	0.2	0.85	0.14	-0.27	0.27
7919	             	      zSNIa	22.1	53670.3	0.318092	0.000019	41.34	0.37	0.95	0.24	0.84	0.14	1.37	0.39
15988	             	      zSNIa	21.9	54037.3	0.359723	0.000035	41.62	0.36	0.7	0.18	0.84	0.14	0.65	0.27
13477	             	      zSNIa	22.1	53998.3	0.363751	0.000015	41.81	0.31	0.41	0.19	0.84	0.13	0.45	0.27
16584	             	      zSNIa	21.9	54060.2	0.391658	0.000138	41.81	0.39	0.28	0.27	0.84	0.16	0.45	0.29
6987	             	      zSNIa	22.2	53664.2	0.292795	0.000027	       	      	0	0.28	0.84	0.23	-0.2	0.37
17395	             	      zSNIa	21.3	54348.3	0.301135	0.00003	41.07	0.28	-0.06	0.17	0.84	0.16	-0.33	0.28
18827	             	      zSNIa	21.1	54381.4	0.297974	0.000036	41.27	0.23	-0.27	0.12	0.84	0.07	-0.34	0.14
21589	             	      zSNIa	21.8	54432.3	0.272163	0.000028	41.33	0.33	0.78	0.24	0.83	0.21	0.95	0.28
15829	             	      zSNIa	21.7	54037.1	0.247475	0.000018	41.02	0.28	0.54	0.17	0.83	0.1	0.66	0.19
10805	       2005ku	       SNIa	17.5	53698.2	0.043968	0.000007	37.32	0.28	0.46	0.08	0.83	0.02	0.55	0.06
17389	       2007ih	       SNIa	20.6	54359.1	0.169599	0.000013	39.9	0.2	0.42	0.08	0.83	0.06	0.46	0.1
15063	             	      zSNIa	22.7	54000.4	0.341572	0.000116	42.58	0.5	0.57	0.34	0.83	0.21	0.36	0.49
21861	       2007sg	       SNIa	20.4	54433.2	0.185889	0.000029	39.62	0.23	0.18	0.2	0.83	0.1	0.3	0.19
16637	             	       SNIa	21	54068.2	0.241498	0.000015	40.38	0.24	0.33	0.21	0.83	0.17	0.29	0.16
5925	             	      zSNIa	21.8	53655.3	0.395188	0.000142	41.61	0.31	0.39	0.19	0.83	0.12	0.27	0.27
13411	             	       SNIa	20.5	53996.2	0.1618	0.0005	39.7	0.21	0.19	0.09	0.83	0.06	0.26	0.11
20051	       2007pv	       SNIa	20.8	54425.1	0.233708	0.00001	40.81	0.25	0.36	0.11	0.83	0.1	0.24	0.13
16152	             	      zSNIa	21.1	54053.4	0.27119	0.01	41	0.25	0.37	0.11	0.83	0.07	0.13	0.14
15516	             	      zSNIa	22	54041.3	0.364072	0.000035	42.13	0.35	0.46	0.18	0.83	0.1	0.1	0.25
12136	       2005mq	       SNIa	21.6	53705.2	0.348289	0.000051	41.45	0.39	0.03	0.34	0.83	0.19	0.1	0.36
7373	             	      zSNIa	21.1	53681.3	0.278495	0.000016	40.97	0.22	0.25	0.12	0.83	0.07	-0.01	0.13
19556	             	      zSNIa	21.4	54403.3	0.361436	0.000087	41.62	0.26	0.07	0.15	0.83	0.1	-0.17	0.17
19023	       2007ls	       SNIa	20.9	54388.2	0.241847	0.005	40.58	0.2	0	0.09	0.83	0.07	-0.25	0.11
4048	             	      zSNIa	21.9	53663.3	0.433246	0.000154	42.41	0.3	-0.16	0.17	0.83	0.09	-0.66	0.22
17647	             	      zSNIa	21.1	54376.4	0.432787	0.005	41.5	0.24	-0.26	0.11	0.83	0.07	-0.9	0.08
18903	       2007lr	      SNIa?	20.6	54392.4	0.154977	0.000026	39.35	0.2	1.33	0.07	0.82	0.05	1.68	0.09
17748	             	      zSNIa	21.1	54362.4	0.17823	0.000021	40.08	0.23	0.63	0.11	0.82	0.09	0.84	0.14
14624	             	      zSNIa	22	54007.2	0.433262	0.00009	41.88	0.3	0.54	0.19	0.82	0.11	0.44	0.28
6100	       2005ka	       SNIa	21.7	53670.2	0.316132	0.0005	41.47	0.3	0.51	0.18	0.82	0.12	0.34	0.21
7099	             	      zSNIa	20.6	53677.2	0.217393	0.000135	40.05	0.19	0.27	0.09	0.82	0.05	0.18	0.08
19205	             	      zSNIa	21.3	54392.2	0.333129	0.000044	41.25	0.22	0.29	0.11	0.82	0.08	0.06	0.15
19088	             	      zSNIa	21.9	54379.3	0.281468	0.000022	41.1	0.35	1.05	0.17	0.81	0.11	1.31	0.24
16236	             	      zSNIa	21.9	54054.2	0.404322	0.000025	42.1	0.37	0.4	0.21	0.81	0.14	0.23	0.34
15470	             	      zSNIa	22	54029.2	0.232223	0.000034	41.9	0.31	0.33	0.16	0.81	0.09	0.06	0.2
2533	       2005fs	       SNIa	21.4	53640.4	0.338803	0.005	41.42	0.27	0.18	0.14	0.81	0.08	-0.02	0.2
6714	             	      zSNIa	21.9	53674.2	0.411986	0.0005	42.03	0.26	0.38	0.12	0.81	0.1	-0.08	0.18
14260	             	      zSNIa	21.6	53989.5	0.365997	0.0005	41.19	0.31	0.06	0.23	0.81	0.2	-0.25	0.37
15987	             	      zSNIa	21.9	54030.3	0.43923	0.000025	42.25	0.34	-0.07	0.25	0.81	0.12	-0.28	0.33
17790	       2007jx	       SNIa	20.8	54366.1	0.17702	0.005	40.4	0.27	-0.3	0.16	0.81	0.08	-0.48	0.19
15749	       2006mw	      SNIa?	19.8	54048.4	0.117783	0.0005	38.28	0.22	1.8	0.07	0.8	0.04	2.41	0.1
19414	             	      zSNIa	21.9	54385.2	0.290313	0.000053	40.95	0.34	0.78	0.2	0.8	0.13	1.08	0.25
20152	             	      zSNIa	21.4	54408.1	0.293367	0.000023	41.04	0.34	0.94	0.13	0.8	0.11	1.02	0.18
6127	       2005iw	       SNIa	21.6	53668.2	0.287037	0.000017	41.14	0.29	0.72	0.15	0.8	0.12	0.89	0.18
21027	             	      zSNIa	22.1	54416.3	0.272377	0.000056	41.67	0.48	0.82	0.24	0.8	0.21	0.88	0.3
13333	             	      zSNIa	21.8	53995.2	0.275959	0.000022	40.69	0.29	0.96	0.15	0.8	0.1	0.85	0.19
2030	       2005fl	       SNIa	20.9	53622.2	0.232382	0.0005	40.27	0.25	0.12	0.19	0.8	0.1	0.07	0.34
5550	       2005hy	       SNIa	19.8	53675.2	0.154924	0.000015	39.45	0.18	0.12	0.05	0.8	0.04	0.06	0.06
19626	       2007ou	       SNIa	20.2	54408.3	0.112296	0.000015	39.35	0.2	0.89	0.06	0.79	0.04	1.15	0.09
15108	             	      zSNIa	21.9	53989.4	0.418666	0.000015	42.19	0.35	0.42	0.2	0.79	0.15	0.28	0.3
13727	       2006hj	       SNIa	20.9	54008.1	0.225337	0.000021	40.31	0.19	0.21	0.1	0.79	0.06	0.18	0.1
18836	             	      zSNIa	21.9	54381.4	0.298805	0.000014	41.18	0.33	0.83	0.19	0.78	0.12	1.06	0.26
4211	             	      zSNIa	22.2	53635.3	0.248729	0.000066	42.4	0.43	0.38	0.24	0.78	0.14	0.22	0.34
2235	             	      zSNIa	21.7	53616.4	0.346426	0.000012	41.24	0.4	0.33	0.22	0.78	0.17	0.06	0.37
15628	             	      zSNIa	22.1	54012.2	0.44716	0.000043	42.58	0.38	0.08	0.25	0.78	0.15	-0.07	0.4
17223	       2007jj	       SNIa	20.6	54346.4	0.233812	0.005	40.27	0.22	0.04	0.11	0.78	0.09	-0.13	0.16
14683	             	      zSNIa	22	54007.4	0.291219	0.000085	41.23	0.35	1.13	0.16	0.77	0.1	1.31	0.22
3527	             	      zSNIa	22.1	53635.4	0.418798	0.000151	42.32	0.45	0.71	0.27	0.77	0.14	0.87	0.49
15454	             	      zSNIa	21.8	54019.2	0.381457	0.00002	41.75	0.3	0.32	0.15	0.77	0.09	0.29	0.25
12930	       2006ex	       SNIa	20.1	53974.2	0.146065	0.000015	39.44	0.21	0.1	0.08	0.77	0.06	0.21	0.11
3983	             	      zSNIa	21.5	53655.3	0.306494	0.000015	41.11	0.27	0.12	0.18	0.77	0.1	-0.04	0.26
6831	             	      zSNIa	21.6	53675.3	0.210437	0.000025	40.65	0.27	1.1	0.14	0.76	0.12	1.29	0.16
19764	             	      zSNIa	22.2	54393.3	0.403833	0.000058	41.82	0.39	0.79	0.23	0.76	0.14	0.8	0.32
13903	             	      SNIa?	22.1	53989.3	0.261982	0.0005	41.95	0.45	0.31	0.24	0.76	0.14	0.27	0.36
17993	             	      zSNIa	22.5	54362.3	0.276802	0.000016	43	0.42	0.35	0.28	0.76	0.17	0.06	0.42
15874	             	      zSNIa	21.8	54035.4	0.401672	0.000033	42.32	0.32	0.28	0.17	0.76	0.11	-0.1	0.26
13953	             	      zSNIa	21.7	54021.4	0.260998	0.000051	41.54	0.31	0.71	0.16	0.75	0.1	0.88	0.22
1794	       2005fj	       SNIa	20.1	53626.2	0.1407	0.000063	39.34	0.19	0.22	0.08	0.75	0.05	0.24	0.1
744	       2005ei	       SNIa	19.7	53616.2	0.12694	0.000014	38.99	0.19	0.26	0.09	0.75	0.05	0.21	0.12
2734	             	      zSNIa	20.7	53634.4	0.302007	0.0005	40.84	0.21	0.04	0.08	0.75	0.04	-0.12	0.1
15340	       2006mu	       SNIa	20.1	54039.2	0.146121	0.0005	39.42	0.21	1.06	0.08	0.74	0.06	1.47	0.1
7707	             	      zSNIa	22.2	53685.3	0.210284	0.000025	       	      	0.85	0.2	0.74	0.14	0.81	0.27
8128	             	      zSNIa	21.8	53674.2	0.438067	0.000024	41.84	0.34	0.5	0.22	0.74	0.13	0.52	0.31
13952	             	      zSNIa	21.9	54007.3	0.327845	0.000049	41.9	0.39	0.48	0.2	0.74	0.11	0.36	0.29
20588	             	      zSNIa	21.9	54413.2	0.285149	0.000056	42.39	0.42	0.25	0.23	0.74	0.11	0.2	0.32
14250	             	      zSNIa	21.7	54007.4	0.36566	0.000025	41.68	0.26	0.36	0.14	0.74	0.08	0.07	0.18
5909	             	      zSNIa	21.6	53664.3	0.346141	0.00003	41.69	0.35	0.32	0.19	0.73	0.09	0.17	0.31
16546	             	      zSNIa	21.8	54059.3	0.364759	0.000011	       	      	0.14	0.27	0.73	0.12	-0.04	0.36
16433	             	      zSNIa	21.7	54049.4	0.401751	0.000041	42.14	0.33	0.07	0.21	0.73	0.11	-0.14	0.27
16136	             	      zSNIa	21.6	54040.3	0.341565	0.000124	40.91	0.26	0.95	0.16	0.72	0.09	1.32	0.21
20613	             	      zSNIa	21.8	54416.1	0.373538	0.000011	41.54	0.29	0.63	0.18	0.72	0.1	0.81	0.22
13898	             	      zSNIa	21.4	53989.4	0.224959	0.000061	40.69	0.25	0.72	0.16	0.72	0.1	0.7	0.21
19068	             	      zSNIa	21.9	54424.1	0.185198	0.000025	42.25	0.31	0.31	0.17	0.72	0.09	0.06	0.23
11067	       2005ml	       SNIa	19.1	53705.3	0.116797	0.000022	38.74	0.21	0.06	0.09	0.72	0.05	0.04	0.07
11142	             	      zSNIa	21.8	53693.2	0.236502	0.000013	       	      	0.1	0.33	0.72	0.1	-0.06	0.43
17114	             	      zSNIa	22.9	54064.3	0.44853	0.000052	       	      	-0.65	0.38	0.72	0.12	-0.73	0.28
13946	             	      zSNIa	22.2	54007.4	0.244831	0.000026	42.06	0.39	0.63	0.19	0.71	0.12	0.45	0.26
10450	             	      zSNIa	21.6	53687.2	0.270471	0.005	41.45	0.33	0.34	0.19	0.71	0.09	0.34	0.22
5869	             	      zSNIa	22	53665.4	0.15728	0.00001	42.31	0.37	0.13	0.21	0.71	0.09	-0.14	0.33
2078	             	      zSNIa	21.8	53627.2	0.322184	0.000029	41.16	0.33	0.08	0.21	0.71	0.18	-0.46	0.4
15504	       2006oc	      SNIa?	21.5	54036.2	0.2682	0.000026	40.9	0.26	0.82	0.13	0.7	0.07	0.88	0.16
20514	             	      zSNIa	21.8	54387.4	0.402996	0.000076	41.79	0.33	0.59	0.19	0.7	0.08	0.44	0.25
13025	       2006fx	       SNIa	21.1	53989.3	0.222864	0.000015	40.36	0.19	0.28	0.08	0.7	0.08	0.11	0.29
11320	       2005mo	      zSNIa	21.4	53679.4	0.273754	0.0005	40.81	0.23	0.47	0.12	0.7	0.06	0.1	0.12
12971	       2006ff	       SNIa	20.6	53975.3	0.233804	0.000038	40.3	0.21	0.11	0.12	0.7	0.07	-0.18	0.17
21420	             	      zSNIa	20.9	54431.3	0.376903	0.000037	41.68	0.32	0.79	0.22	0.69	0.1	0.88	0.27
17220	       2007ji	       SNIa	20.3	54358.3	0.177685	0.000028	39.63	0.2	0.79	0.07	0.69	0.04	0.87	0.09
