CID	IAUName	Class	Peakrmag	MJD	zCMB	e_zCMB	muSz	e_muSz	AVM	e_AVM	dm15z	e_dm15z	AVz	e_AVz
16091	             	      zSNIa	21.3	54053.4	0.299852	0.0005	40.96	0.21	0.05	0.17	0.98	0.1	-0.11	0.19
17820	             	      zSNIa	21.5	54365.4	0.33926	0.000162	41.16	0.26	0.14	0.16	0.98	0.09	-0.14	0.22
14437	       2006hy	       SNIa	19.8	54010.2	0.147915	0.000038	39.22	0.18	-0.02	0.07	0.98	0.03	-0.17	0.07
841	             	      zSNIa	21.5	53628.4	0.298318	0.0005	41.09	0.25	-0.08	0.17	0.98	0.12	-0.27	0.17
2551	             	      zSNIa	21.8	53622.3	0.247554	0.000019	41.77	0.36	-0.24	0.28	0.98	0.23	-0.42	0.3
5978	             	      zSNIa	21.8	53669.3	0.279422	0.000026	40.94	0.35	0.97	0.25	0.97	0.16	1.07	0.31
15805	             	      zSNIa	21.9	54024.4	0.29407	0.000016	41.39	0.4	0.89	0.22	0.97	0.17	1.07	0.31
3172	             	      zSNIa	21.8	53623.2	0.315382	0.000047	40.72	0.43	0.68	0.2	0.97	0.21	0.85	0.33
16199	             	      zSNIa	21.3	54054.2	0.280869	0.00004	40.63	0.24	0.42	0.23	0.97	0.11	0.7	0.18
14984	       2006js	       SNIa	20.8	54029.1	0.182798	0.005	39.96	0.21	0.47	0.09	0.97	0.05	0.51	0.1
7644	             	      zSNIa	21.5	53676.3	0.308461	0.000011	41.27	0.29	0.41	0.21	0.97	0.16	0.49	0.18
16781	       2006qb	       SNIa	21.9	54055.4	0.328287	0.005	41.29	0.38	0.29	0.34	0.97	0.23	0.37	0.34
5897	             	      zSNIa	21.5	53663.4	0.367892	0.000047	41.43	0.28	0.45	0.18	0.97	0.14	0.33	0.24
13152	       2006gg	       SNIa	20.5	53998.3	0.202152	0.000014	39.85	0.18	0.39	0.06	0.97	0.06	0.33	0.07
10449	       2005ll	       SNIa	20.8	53700.2	0.240535	0.000018	40.27	0.24	0.51	0.16	0.97	0.11	0.32	0.16
18945	       2007nd	       SNIa	20.5	54431.3	0.26856	0.005	40.87	0.22	0.12	0.14	0.97	0.1	0.15	0.13
7258	             	      zSNIa	21.2	53686.2	0.253123	0.000035	41.16	0.26	0.25	0.16	0.97	0.11	0.14	0.14
13971	             	      zSNIa	21.4	54000.4	0.260637	0.000066	40.78	0.28	0.12	0.2	0.97	0.22	0.14	0.26
13835	       2006hp	       SNIa	20.9	54010.3	0.246034	0.000012	40.43	0.19	0.13	0.1	0.97	0.04	0.12	0.09
17374	             	      zSNIa	21	54346.2	0.250707	0.000074	40.49	0.24	0.26	0.13	0.97	0.14	0.1	0.16
15467	             	       SNIa	20.5	54036.1	0.208468	0.000034	40.08	0.19	0.24	0.1	0.97	0.05	0.05	0.09
722	       2005ed	       SNIa	19.2	53623.3	0.085038	0.000036	       	      	0.04	0.11	0.97	0.05	0	0.13
15872	       2006nb	       SNIa	20.4	54047.4	0.20548	0.000025	40	0.19	0.18	0.1	0.97	0.05	-0.01	0.11
20533	       2007qt	       SNIa	21.4	54417.4	0.30131	0.005	40.81	0.19	0.11	0.23	0.97	0.25	-0.1	0.19
4181	             	      zSNIa	21.2	53646.4	0.28815	0.000028	41.22	0.27	0.07	0.11	0.97	0.07	-0.2	0.14
15640	             	      SNIa?	20.8	54036.1	0.165114	0.0005	40.48	0.2	0.29	0.09	0.97	0.06	-0.29	0.13
19552	             	      zSNIa	21.9	54403.3	0.437283	0.000066	42.15	0.33	0.12	0.28	0.97	0.17	-0.32	0.32
2308	       2005ey	       SNIa	19.6	53628.4	0.147025	0.005	39.32	0.2	-0.22	0.06	0.97	0.04	-0.46	0.07
17568	       2007kb	       SNIa	21.1	54358.1	0.136854	0.005	39.75	0.22	0.81	0.11	0.96	0.07	0.95	0.14
21813	             	      zSNIa	21.4	54431.2	0.323556	0.000123	40.88	0.4	0.93	0.24	0.96	0.18	0.92	0.29
18588	             	      zSNIa	21.7	54376.3	0.249805	0.00001	41.03	0.31	0.92	0.18	0.96	0.13	0.83	0.23
15580	             	      zSNIa	20.5	54037.4	0.321868	0.000038	41.56	0.39	0.41	0.23	0.96	0.32	0.81	0.31
13894	       2006jh	       SNIa	20.1	54011.3	0.119664	0.005	39.12	0.21	0.66	0.06	0.96	0.04	0.78	0.07
8793	             	      zSNIa	22.1	53680.3	0.434621	0.000071	41.86	0.34	0.64	0.24	0.96	0.17	0.6	0.32
13897	             	      zSNIa	21.1	54000.3	0.230382	0.000008	40.42	0.22	0.5	0.12	0.96	0.08	0.58	0.13
13254	       2006gx	       SNIa	20.9	53994.4	0.179896	0.000013	40.09	0.2	0.41	0.1	0.96	0.06	0.51	0.12
779	             	      zSNIa	20.8	53626.4	0.236938	0.000021	40.32	0.21	0.36	0.11	0.96	0.07	0.39	0.13
20823	             	      zSNIa	21.7	54402.2	0.442694	0.000056	       	      	0.71	0.24	0.96	0.24	0.38	0.42
3087	       2005gc	       SNIa	20.2	53654.4	0.164306	0.000015	39.45	0.18	0.25	0.07	0.96	0.04	0.32	0.07
986	             	      zSNIa	21.5	53623.3	0.279009	0.000022	40.88	0.3	0.31	0.21	0.96	0.2	0.19	0.24
17205	             	      zSNIa	20.7	54348.4	0.191273	0.000012	39.89	0.22	0.27	0.13	0.96	0.09	0.13	0.18
5395	       2005hr	       SNIa	19.4	53663.5	0.116348	0.0005	38.83	0.18	0.17	0.05	0.96	0.03	0.12	0.05
2784	             	      zSNIa	21.8	53637.4	0.398676	0.000021	41.64	0.27	0.15	0.13	0.96	0.16	0.12	0.28
16093	       2006oe	       SNIa	21.6	54048.2	0.334388	0.000027	41.24	0.26	0.15	0.22	0.96	0.11	0.1	0.21
19596	       2007po	       SNIa	21.6	54393.5	0.291349	0.005	40.9	0.23	0.27	0.13	0.96	0.08	0.09	0.14
774	       2005ex	       SNIa	19	53616.4	0.092269	0.000034	38.28	0.19	0.15	0.09	0.96	0.05	0.06	0.11
13096	             	      zSNIa	21.9	53993.4	0.390331	0.000022	42.19	0.27	-0.3	0.2	0.96	0.14	-0.68	0.22
14947	             	      zSNIa	22.4	54050.4	0.231133	0.000027	       	      	1.33	0.3	0.95	0.26	1.59	0.47
5751	       2005hz	       SNIa	19.7	53669.3	0.129282	0.000013	38.93	0.18	0.58	0.04	0.95	0.04	0.79	0.07
5199	             	      zSNIa	21.4	53654.3	0.220456	0.000018	40.53	0.23	0.58	0.15	0.95	0.08	0.68	0.17
15234	       2006kd	       SNIa	20.2	54031.3	0.135136	0.000017	39.38	0.18	0.56	0.07	0.95	0.04	0.64	0.08
10550	       2005lf	       SNIa	21.6	53687.2	0.299222	0.000016	41.13	0.31	0.51	0.27	0.95	0.12	0.64	0.26
20400	             	      zSNIa	21.3	54418.2	0.292026	0.000066	40.84	0.26	0.5	0.25	0.95	0.14	0.62	0.16
17464	       2007jb	       SNIa	20.8	54357.3	0.24555	0.005	40.04	0.23	0.29	0.13	0.95	0.12	0.32	0.17
15359	             	      zSNIa	21.4	54036.2	0.310362	0.000013	40.74	0.23	0.43	0.12	0.95	0.06	0.3	0.14
8351	             	      zSNIa	21.9	53677.3	0.379574	0.000071	41.54	0.27	0.21	0.28	0.95	0.16	0.29	0.23
10066	             	      zSNIa	21.9	53686.2	0.440777	0.000078	41.82	0.38	0.39	0.35	0.95	0.2	0.28	0.44
12881	       2006gu	       SNIa	20.9	53977.4	0.236702	0.000033	40.32	0.22	0.28	0.12	0.95	0.09	0.28	0.11
18807	       2007mg	       SNIa	20.6	54393.5	0.176245	0.005	39.81	0.2	0.26	0.08	0.95	0.05	0.25	0.09
19149	       2007ni	       SNIa	20.3	54396.4	0.210227	0.000012	39.76	0.18	0.34	0.08	0.95	0.03	0.22	0.08
19818	       2007pe	       SNIa	21.1	54396.4	0.303942	0.000012	40.88	0.23	0.25	0.14	0.95	0.07	0.15	0.14
10299	             	      zSNIa	21.5	53685.2	0.259705	0.000018	40.96	0.3	0.24	0.17	0.95	0.12	0.13	0.23
5944	       2005hc	       SNIa	17.4	53669.4	0.04495	0.000016	36.58	0.19	0.13	0.03	0.95	0.02	0.11	0.03
17168	       2007ik	       SNIa	20.6	54357.2	0.183757	0.000014	39.91	0.2	0.13	0.1	0.95	0.06	0.1	0.12
2319	             	      zSNIa	20.1	53635.4	0.159153	0.0005	39.38	0.18	0.11	0.08	0.95	0.04	0.04	0.08
